Unnamed: 0,uid,user_city,item_id,author_id,item_city,channel,finish,like,music_id,duration_time,real_time,H,date
3,15692,109.0,691661,18212,213.0,0,0,0,11513.0,10,2019-10-28 21:55:10,21,2019-10-28
5,44071,80.0,1243212,34500,68.0,0,0,0,1274.0,9,2019-10-21 22:27:03,22,2019-10-21
16,10902,202.0,3845855,634066,113.0,0,0,0,762.0,10,2019-10-26 00:38:51,0,2019-10-26
19,25300,21.0,3929579,214923,330.0,0,0,0,2332.0,15,2019-10-25 20:36:25,20,2019-10-25
24,3656,138.0,2572269,182680,80.0,0,0,0,238.0,9,2019-10-21 20:46:29,20,2019-10-21
33,30913,166.0,681162,3128,104.0,0,0,0,1550.0,9,2019-10-28 06:34:32,6,2019-10-28
39,25848,31.0,110970,136104,65.0,0,0,0,1842.0,9,2019-10-22 00:37:12,0,2019-10-22
49,41439,18.0,1311492,54846,169.0,0,1,0,5544.0,6,2019-09-24 22:58:25,22,2019-09-24
50,20728,45.0,559816,26482,63.0,0,1,0,1560.0,10,2019-10-27 00:36:09,0,2019-10-27
52,57509,26.0,2592781,166796,134.0,0,0,0,381.0,10,2019-10-18 11:55:21,11,2019-10-18
55,9369,116.0,12749,93229,323.0,0,0,0,63.0,4,2019-10-26 03:28:06,3,2019-10-26
58,1127,292.0,398009,616706,149.0,0,0,0,69.0,18,2019-10-27 00:16:46,0,2019-10-27
59,65164,38.0,53931,12025,250.0,0,1,0,4673.0,10,2019-10-06 05:59:29,5,2019-10-06
60,10196,8.0,7502,196332,13.0,0,1,0,418.0,6,2019-10-22 03:16:13,3,2019-10-22
62,31199,106.0,48361,4538,170.0,0,0,0,59.0,5,2019-10-24 05:19:34,5,2019-10-24
63,18376,138.0,3993573,79911,106.0,0,0,0,61097.0,10,2019-10-25 20:05:23,20,2019-10-25
73,12694,109.0,17427,58046,105.0,0,1,0,25528.0,9,2019-10-27 03:04:56,3,2019-10-27
74,1996,13.0,633227,3040,19.0,0,0,0,11898.0,10,2019-10-30 00:09:40,0,2019-10-30
79,43822,6.0,10468,169562,133.0,0,0,0,1664.0,9,2019-10-16 23:24:02,23,2019-10-16
82,30704,69.0,756075,42131,297.0,0,1,0,24472.0,9,2019-10-28 06:06:05,6,2019-10-28
84,21220,65.0,2540064,195256,45.0,0,1,0,4298.0,9,2019-10-23 04:31:58,4,2019-10-23
